event_id,event_title,venue_name,address,latitude,longitude,date,time,repeat_day,host_name,price,prizes,age_limit,teams_max,event_url,source_preview,source_page,notes,day
12236,Find an Event,,,-34.397,150.644,,,,,,,,,https://www.speedquizzing.com/events/12236/,yes,yes,,7
12237,SpeedQuizzing Event,,,40.456503,-79.9346192,,,,Anthony Renne,,,,,https://www.speedquizzing.com/events/12237/,yes,yes,,7
12246,SpeedQuizzing Event,Geek Retreat Dudley,"Geek Retreat Dudley, 195 High Street, Dudley, DY1 1QE 06:00PM €¢ Monday 12 Jan 2026Prizes, 50p per Player in credit pot (Given to nominated t | 3 to play | Max 10 per team | Age 12+",52.5097926,-2.0851267,,,,Geek Retreat Dudley,,Prizes,Age 12+,Max 10 per team,https://www.speedquizzing.com/events/12246/,yes,yes,,7
12248,SpeedQuizzing Event,Heavenly's Ashton,"Heavenly's Ashton, 8 Old Street, Ashton-under-Lyne, OL6 6LB 7.30PM €¢ Thursday 8 Jan 2026Prizes, Vouchers and Prizes to be won | Max 6 per team | Age 18+",53.48866519151076,-2.090884356,,,,Danny Garrett,,Prizes,Age 18+,Max 6 per team,https://www.speedquizzing.com/events/12248/,yes,yes,,7
12255,SpeedQuizzing Event,,,53.356588478863834,-6.273833066,,,,Ray Byrne Entertainment And Events,,Prizes,Age 18+,,https://www.speedquizzing.com/events/12255/,yes,yes,,7
12263,SpeedQuizzing Event,The Cock & Magpie,"The Cock & Magpie, Severn Side North, Bewdley, DY12 2EE 7:30pm onw €¢ Tuesday 13 Jan 2026Prizes, Based on entries | 2.00 to play | Max 4 per team | Age 18+",52.376489201232914,-2.314547069,,,,Nick Cox,,Prizes,Age 18+,Max 4 per team,https://www.speedquizzing.com/events/12263/,yes,yes,,7
12291,SpeedQuizzing Event,The Royal George,"The Royal George, Colchester Road, Royal George Public House, Ipswich, IP4 4SR 7pm €¢ Monday 5 Jan 2026Prizes, Prizes to be won on the night | £2 to play | Max 4 per team",52.0692344,1.181932,,,,Tim Morton,£2 to play,Prizes,,Max 4 per team,https://www.speedquizzing.com/events/12291/,yes,yes,,7
12292,SpeedQuizzing Event,Monkseaton Arms,"Monkseaton Arms, Front Street, Monkseaton, Whitley Bay, NE25 8DP 6pm €¢ Sunday 4 Jan 2026",55.04173931836628,-1.46155715,,,,Whos The Daddy,,,,,https://www.speedquizzing.com/events/12292/,yes,yes,,7
12296,SpeedQuizzing Event,Nacional De Cuba,"Nacional De Cuba, 1 Strand Road, Derry / Londonderry, BT48 7NY 8pm €¢ Tuesday 13 Jan 2026Prizes, Cash / Free Drinks / Bar Tab | Free To Play to play | Age 18+",54.9982002,-7.3219076,,,,Darryn McGarry,,Prizes,Age 18+,,https://www.speedquizzing.com/events/12296/,yes,yes,,7
12299,SpeedQuizzing Event,,,43.062257,-77.4795865,,,,Larry Rodman,,Prizes,Age 18+,Max 8 per team,https://www.speedquizzing.com/events/12299/,yes,yes,,7
12305,SpeedQuizzing Event,,,53.4803199,-2.2463384,,,,John Barton,,,,,https://www.speedquizzing.com/events/12305/,yes,yes,,7
12309,SpeedQuizzing Event,Wateringbury,"Wateringbury, Tonbridge Road, Wateringbury, ME18 5NS 7.30 €¢ Monday 12 Jan 2026Prizes, Cash | £3 to play | Max 6 per team",51.2566926,0.4133931,12-Jan-26,7.3,Monday,Louise Cannon,£3 to play,Prizes,,Max 6 per team,https://www.speedquizzing.com/events/12309/,yes,yes,,2
12316,SpeedQuizzing Event,Lloyds No1 Bar,"Lloyds No1 Bar, The William Rufus, 10-16 Botchergate, Carlisle, CA1 1QS 8.30 €¢ Thursday 15 Jan 2026Prizes, Cash | £1 to play | Max 5 per team | Age 18+",54.8911023,-2.931915,15-Jan-26,8.3,Thursday,David ONeil,£1 to play,Prizes,Age 18+,Max 5 per team,https://www.speedquizzing.com/events/12316/,yes,yes,,5
12326,Find an Event,,,-34.397,150.644,,,,,,,,,https://www.speedquizzing.com/events/12326/,yes,yes,,7
12327,SpeedQuizzing Event,The White Swan,"The White Swan, 57 Greenhill Main Road, White Swan, Greenhill, S8 7RB 8 €¢ Tuesday 6 Jan 2026Prizes, Cash | £1 to play | Max 4 per team",53.32714679999999,-1.4829663,,,,Matt Timoney,£1 to play,Prizes,,Max 4 per team,https://www.speedquizzing.com/events/12327/,yes,yes,,7
12328,SpeedQuizzing Event,The Red House,"The Red House, 1 Wolverton Road, Newport Pagnell, MK16 8BG 7:30pm €¢ Monday 5 Jan 2026Prizes, £50 voucher, wine, spot prize, jackpot | £4 to play | Max 6 per team | Age 18+",52.0824103,-0.7413536,,,,Owen Andrew,£4 to play,Prizes,Age 18+,Max 6 per team,https://www.speedquizzing.com/events/12328/,yes,yes,,7
12346,SpeedQuizzing Event,,,42.4429765,-85.6411988,06-Jan-26,07:00,Tuesday,Ryan Kohlhoff,,Prizes,Age 18+,Max 4 per team,https://www.speedquizzing.com/events/12346/,yes,yes,,3
12358,SpeedQuizzing Event,The Cow Shed Bar & Grill,"The Cow Shed Bar & Grill, 3 The Square, Birchington-on-Sea, Birchington, CT7 9AE 7:30pm €¢ Monday 5 Jan 2026Prizes, Drinks vouchers/Cash Jackpot | £2 to play | Max 6 per team | Age 6+",51.3737991,1.3076014,,,,Charlotte Lamba,£2 to play,Prizes,Age 6+,Max 6 per team,https://www.speedquizzing.com/events/12358/,yes,yes,,7
12361,SpeedQuizzing Event,,,40.2513913,-105.8200858,05-Jan-26,06:45,Monday,Travis Taylor,,,,,https://www.speedquizzing.com/events/12361/,yes,yes,,2
12365,Find an Event,,,-34.397,150.644,,,,,,,,,https://www.speedquizzing.com/events/12365/,yes,yes,,7
12368,SpeedQuizzing Event,O'neills Harborne,"O'neills Harborne, High Street, Harborne, Birmingham, B17 9PU 7pm €¢ Wednesday 7 Jan 2026Prizes, guinness hamper and cash prize + more | 2 pounds to play | Max 5 per team | Age 18+",52.4579884,-1.9560061,,,,Louie Saunders,,Prizes,Age 18+,Max 5 per team,https://www.speedquizzing.com/events/12368/,yes,yes,,7
12374,SpeedQuizzing Event,,,39.6135868,-105.002104,,,,Connorado,,Prizes,,Max 8 per team,https://www.speedquizzing.com/events/12374/,yes,yes,,7
12382,SpeedQuizzing Event,Queen of Hockley,"Queen of Hockley, 7 Broad Street, Nottingham, NG1 3AJ 8pm €¢ Tuesday 13 Jan 2026",52.9540273,-1.1442534,,,,FEEL GOOD QUIZ,,,,,https://www.speedquizzing.com/events/12382/,yes,yes,,7
12383,SpeedQuizzing Event,The Blacksmiths,"The Blacksmiths, Ward's End, Loughborough, LE11 3HB 8pm €¢ Sunday 4 Jan 2026",52.76841093479848,-1.208105587,,,,FEEL GOOD QUIZ,,,,,https://www.speedquizzing.com/events/12383/,yes,yes,,7
12396,Find an Event,,,-34.397,150.644,,,,,,,,,https://www.speedquizzing.com/events/12396/,yes,yes,,7
12412,SpeedQuizzing Event,,,41.6107074,-83.5583761,,,,David Eureste,,Prizes,Age 10+,,https://www.speedquizzing.com/events/12412/,yes,yes,,7
12417,SpeedQuizzing Event,,,42.25968719999999,-71.4645826,,,,Lori Flynn,,,,,https://www.speedquizzing.com/events/12417/,yes,yes,,7
12434,SpeedQuizzing Event,The Hindley Arms,"The Hindley Arms, The Hindley Arms 124 - 126 Market Street, Hindley, Wigan, WN2 3AY 8.30pm €¢ Monday 5 Jan 2026Prizes, £50 Bar Tab | £5 per Team to play | Max 6 per team | Age 18+",53.53461520139604,-2.579736731,,,,Peter Ashton,,Prizes,Age 18+,Max 6 per team,https://www.speedquizzing.com/events/12434/,yes,yes,,7
12449,SpeedQuizzing Event,Royal Oak Boothstown,"Royal Oak Boothstown, 18-20 Leigh Road, Boothstown, Worsley, M28 1LZ 7PM €¢ Sunday 4 Jan 2026Prizes, Bar Vouchers | £1 to play | Max 6 per team",53.5029155,-2.4209478,,,,Royal Oak,£1 to play,Prizes,,Max 6 per team,https://www.speedquizzing.com/events/12449/,yes,yes,,7
12450,SpeedQuizzing Event,Fox Under the Hill,"Fox Under the Hill, Shooters Hill Road, London, SE18 4LT 7.30pm €¢ Tuesday 6 Jan 2026Prizes, Cash | £3 to play | Max 6 per team",51.474597,0.0241058,,,,Chloe Sheehan,£3 to play,Prizes,,Max 6 per team,https://www.speedquizzing.com/events/12450/,yes,yes,,7
12455,SpeedQuizzing Event,,,44.4060236,-85.7155898,,,,Marcus Anderson,,,Age 0+,Max 4 per team,https://www.speedquizzing.com/events/12455/,yes,yes,,7
12461,SpeedQuizzing Event,,,55.982628427861975,-3.738516569,,,,Kyle Mclachlan,,Prizes,Age 18+,Max 4 per team,https://www.speedquizzing.com/events/12461/,yes,yes,,7
